Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
positive regulation of cellular component biogenesis (GO:0044089)	1/92	0.449365340340123	0.548643729485034	1	0.0108695652173913	GNL3L
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	1/92	0.449365340340123	0.548643729485034	1	0.0108695652173913	UBE2O
negative regulation of cell death (GO:0060548)	1/94	0.456478396328678	0.555712830313173	1	0.0106382978723404	TMEM109
negative regulation of cellular protein metabolic process (GO:0032269)	1/94	0.456478396328678	0.555712830313173	1	0.0106382978723404	CLN3
axonogenesis (GO:0007409)	2/240	0.459772107116928	0.558912547001765	2	0.00833333333333333	MAP1S;BSG
membrane organization (GO:0061024)	2/242	0.464050206168464	0.563297938123569	2	0.00826446280991736	GAK;CLN3
positive regulation of cold-induced thermogenesis (GO:0120162)	1/97	0.466977375260579	0.565217572361508	1	0.0103092783505155	UCP2
glycosaminoglycan biosynthetic process (GO:0006024)	1/97	0.466977375260579	0.565217572361508	1	0.0103092783505155	CHST13
negative regulation of neuron death (GO:1901215)	1/98	0.470432119182546	0.567762902461693	1	0.0102040816326531	CLN3
regulation of neuron apoptotic process (GO:0043523)	1/98	0.470432119182546	0.567762902461693	1	0.0102040816326531	CLN3
response to UV (GO:0009411)	1/99	0.473864643902617	0.571085080169581	1	0.0101010101010101	GPX1
cell-matrix adhesion (GO:0007160)	1/100	0.477275091201804	0.571913090741106	1	0.01	ZYX
organic acid transport (GO:0015849)	1/100	0.477275091201804	0.571913090741106	1	0.01	SLC43A2
regulation of transforming growth factor beta receptor signaling pathway (GO:0017015)	1/100	0.477275091201804	0.571913090741106	1	0.01	TGFBR3
positive regulation of translation (GO:0045727)	1/100	0.477275091201804	0.571913090741106	1	0.01	EEF2
phosphorylation (GO:0016310)	3/400	0.478475708401183	0.572535035693723	3	0.0075	STK10;ZAP70;RUNX3
cellular response to chemical stress (GO:0062197)	1/101	0.48066360187788	0.574334887023356	1	0.0099009900990099	GPX1
regulation of cell death (GO:0010941)	1/102	0.484030316025648	0.575085523990869	1	0.00980392156862745	TMEM109
cell junction assembly (GO:0034329)	1/102	0.484030316025648	0.575085523990869	1	0.00980392156862745	SPOCK2
positive regulation of cellular protein metabolic process (GO:0032270)	1/102	0.484030316025648	0.575085523990869	1	0.00980392156862745	EEF2
intrinsic apoptotic signaling pathway (GO:0097193)	1/102	0.484030316025648	0.575085523990869	1	0.00980392156862745	BCL2L1
regulation of insulin secretion (GO:0050796)	1/104	0.490698910224265	0.581364012113374	1	0.00961538461538462	MIDN
translational elongation (GO:0006414)	1/104	0.490698910224265	0.581364012113374	1	0.00961538461538462	EEF2
activation of GTPase activity (GO:0090630)	1/105	0.494001065908487	0.583629951284288	1	0.00952380952380952	RHOG
regulation of JNK cascade (GO:0046328)	1/105	0.494001065908487	0.583629951284288	1	0.00952380952380952	TGFBR3
protein localization to nucleus (GO:0034504)	1/106	0.497281976211412	0.586593413318198	1	0.00943396226415094	FAM53B
negative regulation of cellular process (GO:0048523)	4/566	0.497906075828423	0.586593413318198	4	0.00706713780918728	TGFBR3;TESC;TMEM109;RUNX3
response to calcium ion (GO:0051592)	1/107	0.500541776772366	0.588872678555725	1	0.00934579439252336	MCOLN1
regulation of protein ubiquitination (GO:0031396)	1/109	0.506998587005761	0.59563470361516	1	0.00917431192660551	GNL3L
regulation of protein kinase activity (GO:0045859)	1/110	0.510195863585462	0.597719003363721	1	0.00909090909090909	MAP2K3
response to endoplasmic reticulum stress (GO:0034976)	1/110	0.510195863585462	0.597719003363721	1	0.00909090909090909	SEC16A
organelle organization (GO:0006996)	3/420	0.510965842276747	0.597787336368339	3	0.00714285714285714	GAK;SEC16A;MCOLN1
central nervous system development (GO:0007417)	2/268	0.517806920446557	0.604948279798481	2	0.00746268656716418	MAP1S;PAFAH1B3
positive regulation of metabolic process (GO:0009893)	1/113	0.519664763692536	0.605434676146644	1	0.00884955752212389	UCP2
sulfur compound biosynthetic process (GO:0044272)	1/113	0.519664763692536	0.605434676146644	1	0.00884955752212389	CHST13
