Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Liver Cirrhosis, Experimental	35/801	0.000500875710350215	0.0345510072047602	35	0.0436953807740325	ARHGAP9;FCN1;CSF1R;GRN;HIP1;CEBPD;SLC44A2;ITGB2;DYSF;INPPL1;CFP;CSAD;ITGAL;BICD2;CTSS;TIMP1;SLC15A3;PTPN1;CD163;TMEM184B;APAF1;ACTN1;PRKCD;HLA-F;MMP9;IGF2R;APBB1IP;NFKBIA;ACTA2;KLF6;PTPRC;MYADM;VIM;MYO1F;SIGLEC5
IMMUNE SUPPRESSION	9/96	0.000500966121682069	0.0345510072047602	9	0.09375	ITGAM;DUSP1;STAT3;PIK3CD;PTPN6;CD14;PGD;TRIM21;SIGLEC5
Lupus Vulgaris	17/284	0.000541126249520484	0.0363633443484713	17	0.0598591549295775	GRN;ITGAM;STAT3;ITGB2;MKL1;CXCR4;ARID3A;TYK2;ITGAL;F5;TNFSF13B;PTPRC;IRF7;CD14;TLR5;TRIM21;SLC12A9
Hodgkin Disease	28/592	0.000544692977261265	0.0363633443484713	28	0.0472972972972973	CSF1R;NOTCH1;HIP1;PIK3CD;FOXO3;LPP;TNFSF13B;NXF1;RXRA;FCGRT;ALOX5;STAT6;TIMP1;SLC12A9;PTPN1;STAT5B;CD163;DUSP1;DAPK2;STAT3;CFLAR;MMP9;TNFRSF1A;NFKBIA;RYBP;PTPRC;SELL;VIM
HIV Infections	35/806	0.000559985722360315	0.0363633443484713	35	0.043424317617866	CEBPB;ITGAM;SRF;ITGB2;ICAM3;CXCR4;ADAR;FOXO3;ITGAL;THBS1;LTB4R;ARHGAP4;TIMP1;CD14;CTSD;CTSB;LYN;SRRM2;G6PD;RNF24;DUSP1;SLC11A1;STAT3;CFLAR;RENBP;MMP9;IGF2R;CKAP4;TNFRSF1A;PTPRC;IRF7;TLR8;ULK1;ARHGEF2;MAP3K11
Epstein-Barr Virus Infections	15/234	0.000560196514657012	0.0363633443484713	15	0.0641025641025641	CEBPB;PRKCD;STAT3;ITGB2;CXCR4;PIK3CD;ITGAL;MMP9;UNC13D;LTB4R;CKAP4;IRF7;PTPN6;TIMP1;VIM
Cardiomyopathies	24/480	0.000621044276977494	0.039728832443169	24	0.05	MYBPC3;CD163;G6PD;ACADVL;SRF;GAA;STAT3;DYSF;PIK3CD;TYK2;BEST1;EHD1;ACTA2;PTPRC;POLR2A;SCO2;ANPEP;ITGAX;MFN2;D2HGDH;RBCK1;TIMP1;CTSD;VCL
Lymphoid leukemia	14/213	0.000662959995318992	0.0417084922424331	14	0.0657276995305164	LYN;CSF1R;NOTCH1;SYK;STAT3;CXCR4;TYK2;CFLAR;FOXO3;LYL1;PTPRC;FES;ANPEP;MYADM
Polymyositis	9/100	0.00067570003045757	0.0417084922424331	9	0.09	ADAM19;PTPRC;DYSF;CXCR4;TIMP1;TYK2;MMP9;THBS1;BEST1
Congenital neutropenia	6/45	0.000682137864810025	0.0417084922424331	6	0.133333333333333	CSF1R;STAT5B;CEBPB;CSF3R;CXCR4;TCIRG1
Anaplastic astrocytoma	12/166	0.000689787026211513	0.0417084922424331	12	0.072289156626506	CD163;MMP25;KLF6;NOTCH1;ALOX5;STAT3;PIK3CD;TIMP1;ITGA5;VIM;CTSD;MMP9
Dermatitis	13/190	0.000704005262403382	0.041992962543899	13	0.068421052631579	STAT5B;GRN;ITGAM;ITGB2;PIK3CD;TYK2;MMP9;THBS1;TNFRSF1A;ALOX5;ITGAX;STAT6;TRIM21
Hepatomegaly	20/373	0.000740648529351139	0.043331743604158	20	0.0536193029490617	ACADVL;ATP6AP1;DAPK2;GAA;PRKCD;GBA;RHBDF2;TALDO1;TCIRG1;PHKA2;GNS;F5;CLCN7;SLC7A7;PTPRC;IDS;MFN2;SKIV2L;LZTR1;PNPLA2
Vascular Diseases	21/401	0.000746083487520618	0.043331743604158	21	0.0523690773067332	STAT5B;NOTCH1;SRF;ITGB2;HSPA6;MKL1;CXCR4;CFP;SORL1;RENBP;MMP9;THBS1;LTB4R;F5;TNFRSF1A;CST3;ACTA2;VCAN;TIMP1;CD14;CTSB
Encephalitis, St. Louis	10/124	0.000822000251311791	0.0471208975232499	10	0.0806451612903226	STAT3;FPR1;IRF7;CXCR4;ARID3A;CD14;TYK2;TRIM21;IRF9;TNFSF13B
Severe congenital neutropenia	6/47	0.000863683106583207	0.0488756055443369	6	0.127659574468085	CSF1R;STAT5B;CEBPB;CSF3R;CXCR4;TCIRG1
