Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Thermogenesis	25/232	4.35559294590492e-08	7.40450800803837e-07	25	0.107758620689655	COX7B;UQCRB;NDUFB6;NDUFB5;COX17;NDUFB3;NDUFB2;COX7A2;COX6A1;COX7C;UQCRH;NDUFV2;NDUFA9;NDUFA8;NDUFA4;RPS6;NDUFA1;COX6C;UQCRQ;NDUFS5;NDUFAB1;NDUFS4;NDUFAF2;NDUFS3;UQCRC2
Spliceosome	18/150	6.98779734874088e-07	1.10307372433695e-05	18	0.12	ISY1;HSPA8;RBM25;BUD31;CWC15;PLRG1;LSM5;LSM3;LSM7;SNRPD2;ZMAT2;SYF2;MAGOH;SNRPG;SNRPA1;SNRPB2;SNRPF;SLU7
Protein export	6/23	4.90559640590463e-05	0.000722757870469949	6	0.260869565217391	SRP19;SEC61G;SRP14;SEC11A;SRP9;SEC11C
Spinocerebellar ataxia	14/143	0.000116105822873927	0.00160371167844611	14	0.0979020979020979	GTF2B;PSMA5;PSMB6;PSMA6;PSMB7;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;RB1CC1;PSMB1;PSMC2;VDAC3
Retrograde endocannabinoid signaling	14/148	0.00016742169658196	0.00217648205556548	14	0.0945945945945946	NDUFA9;NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFB3;NDUFB2;NDUFA1;GNG11;NDUFS5;NDUFS4;NDUFAB1;NDUFS3;NDUFV2
Basal transcription factors	7/45	0.000377786989010728	0.00463838469840949	7	0.155555555555556	GTF2A2;TAF12;GTF2B;TAF7;GTF2F2;GTF2E2;GTF2H5
Nucleotide excision repair	7/47	0.000496920019288143	0.00577996443487787	7	0.148936170212766	POLE4;CETN2;RPA3;RPA2;ERCC5;GTF2H5;RBX1
Cardiac muscle contraction	9/87	0.00127227595466387	0.0140586492990357	9	0.103448275862069	COX7B;UQCRB;UQCRQ;COX7A2;UQCRC2;COX6A1;COX6C;COX7C;UQCRH
RNA transport	14/186	0.00164822796303339	0.01734563713478	14	0.0752688172043011	EIF4A2;EIF1AY;UPF3B;THOC7;EEF1A1;FXR1;PNN;CLNS1A;MAGOH;GEMIN6;NUP88;EIF3E;EIF4B;NUP37
RNA degradation	8/79	0.00267539567317941	0.0268755656260296	8	0.10126582278481	EXOSC7;ZCCHC7;LSM7;LSM1;WDR61;LSM5;LSM3;HSPD1
