GeneSymbol	set	direction
CYB5R4	C_MCI and AD_MCI	DOWN
LOC284988	C_MCI and AD_MCI	DOWN
EFR3A	C_MCI and AD_MCI	DOWN
STK17B	C_MCI and AD_MCI	DOWN
MRPL13	C_MCI and AD_MCI	DOWN
LYRM5	C_MCI and AD_MCI	DOWN
FLJ20273	C_MCI and AD_MCI	DOWN
UBLCP1	C_MCI and AD_MCI	DOWN
GBP1	C_MCI and AD_MCI	DOWN
GNG2	C_MCI and AD_MCI	DOWN
HSDL2	C_MCI and AD_MCI	DOWN
HS.407903	C_MCI and AD_MCI	DOWN
NFE2L2	C_MCI and AD_MCI	DOWN
AIM2	C_MCI and AD_MCI	DOWN
TP53INP1	C_MCI and AD_MCI	DOWN
SLC30A9	C_MCI and AD_MCI	DOWN
VCPIP1	C_MCI and AD_MCI	DOWN
MST4	C_MCI and AD_MCI	DOWN
GNAI3	C_MCI and AD_MCI	DOWN
SACM1L	C_MCI and AD_MCI	DOWN
USP38	C_MCI and AD_MCI	DOWN
SP3	C_MCI and AD_MCI	DOWN
ZMPSTE24	C_MCI and AD_MCI	DOWN
MKLN1	C_MCI and AD_MCI	DOWN
GNG10	C_MCI and AD_MCI	DOWN
CD55	C_MCI and AD_MCI	DOWN
TMED5	C_MCI and AD_MCI	DOWN
CHD1	C_MCI and AD_MCI	DOWN
GMFB	C_MCI and AD_MCI	DOWN
LOC646630	C_MCI and AD_MCI	DOWN
XIST	C_MCI and AD_MCI	DOWN
LOC645058	C_MCI and AD_MCI	DOWN
ARL8B	C_MCI and AD_MCI	DOWN
GNA13	C_MCI and AD_MCI	DOWN
CMPK1	C_MCI and AD_MCI	DOWN
HS.137971	C_MCI and AD_MCI	DOWN
OSBPL8	C_MCI and AD_MCI	DOWN
GPR65	C_MCI and AD_MCI	DOWN
CLDND1	C_MCI and AD_MCI	DOWN
SLMAP	C_MCI and AD_MCI	DOWN
SNX10	C_MCI and AD_MCI	DOWN
SSR1	C_MCI and AD_MCI	DOWN
HMGN4	C_MCI and AD_MCI	DOWN
UBL3	C_MCI and AD_MCI	DOWN
KIAA1600	C_MCI and AD_MCI	DOWN
CLIC1	C_MCI and AD_MCI	DOWN
FOXN2	C_MCI and AD_MCI	DOWN
ZRANB2	C_MCI and AD_MCI	DOWN
PAPOLA	C_MCI and AD_MCI	DOWN
GCA	C_MCI and AD_MCI	DOWN
LOC402694	C_MCI and AD_MCI	DOWN
MBNL1	C_MCI and AD_MCI	DOWN
FYB	C_MCI and AD_MCI	DOWN
SAMD9	C_MCI and AD_MCI	DOWN
WDFY1	C_MCI and AD_MCI	DOWN
BNIP2	C_MCI and AD_MCI	DOWN
CD48	C_MCI and AD_MCI	DOWN
DDX3X	C_MCI and AD_MCI	DOWN
DCP2	C_MCI and AD_MCI	DOWN
TMEM123	C_MCI and AD_MCI	DOWN
YPEL5	C_MCI and AD_MCI	DOWN
MARCH7	C_MCI and AD_MCI	DOWN
CNIH4	C_MCI and AD_MCI	DOWN
RAB8B	C_MCI and AD_MCI	DOWN
EVI2A	C_MCI and AD_MCI	DOWN
RGS18	C_MCI and AD_MCI	DOWN
PJA2	C_MCI and AD_MCI	DOWN
CAPZA2	C_MCI and AD_MCI	DOWN
EPN1	C_MCI and AD_MCI	UP
CXXC1	C_MCI and AD_MCI	UP
CAPNS1	C_MCI and AD_MCI	UP
CLPTM1	C_MCI and AD_MCI	UP
SF3A2	C_MCI and AD_MCI	UP
GPSN2	C_MCI and AD_MCI	UP
MXD4	C_MCI and AD_MCI	UP
TRPV2	C_MCI and AD_MCI	UP
C11ORF2	C_MCI and AD_MCI	UP
PTOV1	C_MCI and AD_MCI	UP
TBCD	C_MCI and AD_MCI	UP
GPI	C_MCI and AD_MCI	UP
SPTAN1	C_MCI and AD_MCI	UP
FOXJ2	C_MCI and AD_MCI	UP
FLII	C_MCI and AD_MCI	UP
TRIM28	C_MCI and AD_MCI	UP
FAM38A	C_MCI and AD_MCI	UP
TAPBP	C_MCI and AD_MCI	UP
PIK3R2	C_MCI and AD_MCI	UP
CSK	C_MCI and AD_MCI	UP
HGS	C_MCI and AD_MCI	UP
SF3B2	C_MCI and AD_MCI	UP
PIP5K1C	C_MCI and AD_MCI	UP
HS.568928	C_MCI and AD_MCI	UP
AKNA	C_MCI and AD_MCI	UP
MLL4	C_MCI and AD_MCI	UP
IDH3G	C_MCI and AD_MCI	UP
ITPKB	C_MCI and AD_MCI	UP
ATXN2	C_MCI and AD_MCI	UP
RAPGEF1	C_MCI and AD_MCI	UP
LOC339123	C_MCI and AD_MCI	UP
GLG1	C_MCI and AD_MCI	UP
NDUFV1	C_MCI and AD_MCI	UP
LOC730316	C_MCI and AD_MCI	UP
HS.374257	C_MCI and AD_MCI	UP
SMARCC2	C_MCI and AD_MCI	UP
RBM10	C_MCI and AD_MCI	UP
POLG	C_MCI and AD_MCI	UP
TMUB1	C_MCI and AD_MCI	UP
SUPT5H	C_MCI and AD_MCI	UP
