Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
Protein export	6/23	9.37049777379685e-05	0.0014992796438075	6	0.260869565217391	SRP19;SEC61B;SRP14;SEC11A;SRP9;SEC11C
Retrograde endocannabinoid signaling	14/148	0.000543069409738216	0.00814604114607323	14	0.0945945945945946	NDUFA8;NDUFB6;NDUFB5;NDUFA4;NDUFB3;GNAI3;NDUFB2;NDUFA1;GNG11;GNG10;GNG2;NDUFS5;NDUFS4;NDUFAB1
Salmonella infection	19/249	0.000928187846979113	0.0131038284279404	19	0.0763052208835341	ACTR3;ACTR2;HSP90AA1;RALA;DYNLT1;DYNLT3;LY96;TXN;ARPC5;ARPC3;CASP3;CASP4;TNFSF10;CASP1;KPNA4;ACBD3;ACTR10;BIRC2;ARL8B
RNA degradation	9/79	0.00143344744304683	0.0191126325739578	9	0.113924050632911	ZCCHC7;LSM7;PAN3;LSM1;WDR61;LSM5;DCP2;LSM3;HSPD1
Cardiac muscle contraction	9/87	0.00281111903075388	0.0355088719674174	9	0.103448275862069	COX7B;UQCRB;UQCRQ;COX7A2;UQCRC2;COX6A1;COX6C;COX7C;UQCRH
Nucleotide excision repair	6/47	0.00499015410654612	0.0598818492785535	6	0.127659574468085	POLE4;CETN2;RPA3;RPA2;GTF2H5;RBX1
Legionellosis	6/57	0.0126867552393869	0.144991488450136	6	0.105263157894737	EEF1A1;CLK1;HSPA8;CASP3;CASP1;HSPD1
Human immunodeficiency virus 1 infection	14/212	0.0140764202472431	0.153560948151743	14	0.0660377358490566	CUL5;GNAI3;CD3G;GNG11;CD3D;RBX1;GNG10;TBK1;GNG2;RPS6KB1;CASP3;AP1S2;B2M;CALM2
Basal transcription factors	5/45	0.0179181912563719	0.186972430501271	5	0.111111111111111	GTF2A2;GTF2B;TAF7;GTF2F2;GTF2H5
Spinocerebellar ataxia	10/143	0.0245805173851131	0.245805173851131	10	0.0699300699300699	PSMA6;PSMD6;PSMA3;PSMA4;PSMC6;PSMA2;GTF2B;RB1CC1;PSMB1;PSMC2
DNA replication	4/36	0.0331471882093062	0.31821300680934	4	0.111111111111111	POLE4;RPA3;RPA2;SSBP1
Mismatch repair	3/23	0.0419545810651597	0.38727305598609	3	0.130434782608696	RPA3;RPA2;SSBP1
NOD-like receptor signaling pathway	11/181	0.0459244686541487	0.408217499147989	11	0.0607734806629834	GBP5;HSP90AA1;TBK1;AIM2;NAMPT;CASP4;CASP1;TXN;GBP1;CAMP;BIRC2
Ubiquitin mediated proteolysis	9/140	0.0501835551743367	0.415549344526254	9	0.0642857142857143	ANAPC13;CUL5;CDC26;UBE2E1;UBE2N;UBE3A;RPS27A;BIRC2;RBX1
Endocytosis	14/252	0.0504107848712051	0.415549344526254	14	0.0555555555555556	ACTR3;VPS29;HSPA8;ACTR2;VPS26A;ARPC5;RAB11A;RAB10;SNX2;RABEP1;ARPC3;CAPZA2;VPS36;CHMP5
Ubiquinone and other terpenoid-quinone biosynthesis	2/11	0.0519436680657818	0.415549344526254	2	0.181818181818182	COQ2;COQ5
Collecting duct acid secretion	3/27	0.0627624679598152	0.485902977753408	3	0.111111111111111	ATP6V1G1;ATP6V1E1;ATP6V1D
