Term	Overlap	P.value	Adjusted.P.value	Gene_count	Gene_ratio	Genes
SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	41/90	3.06009163342899e-36	7.08105203975469e-33	41	0.455555555555556	RPL4;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;SRP14;RPL9;RPL6;RPL7;RPS4X;RPS17;RPS15A;RPS18;RPL35;SEC61B;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;SRP9;RPS25;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24
cytoplasmic translation (GO:0002181)	41/93	1.63328131193749e-35	1.88970647791168e-32	41	0.440860215053763	EIF4A2;RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL9;RPL6;RPL7;RPS4X;RPS17;RPS15A;RPS18;RPL35;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;ZC3H15;RWDD1;RPL41;RPL21;RPL23;RPL35A;RPS3A;RPS25;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPL26L1;RPS24
cotranslational protein targeting to membrane (GO:0006613)	41/94	2.80606233123123e-35	2.16440941148969e-32	41	0.436170212765957	RPL4;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;SRP14;RPL9;RPL6;RPL7;RPS4X;RPS17;RPS15A;RPS18;RPL35;SSR1;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;SRP9;RPS25;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24
protein targeting to ER (GO:0045047)	40/103	5.10918822012861e-32	2.9556653853444e-29	40	0.388349514563107	RPL4;RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;SRP14;RPL9;RPL6;RPL7;RPS4X;RPS17;RPS15A;RPS18;RPL35;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;SRP9;RPS25;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24
translation (GO:0006412)	54/214	8.68960086676791e-32	4.02154728114019e-29	54	0.252336448598131	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL9;RPL6;MRPL32;RPL7;EEF1B2;RPS4X;MRPL3;RPS17;RPS18;RPL35;RPL39;RPS10;RPS13;RPL21;RPL23;MRPS21;RPS3A;MRPS18C;EEF1A1;MRPL51;PPA1;RPL37A;RPL24;RPL27;RPL26;EEF1E1;MRPS33;RPL12;RPL11;MRPL13;RPS15A;RPL15;RPS27A;RPL17;ZC3H15;RWDD1;RPL41;RPL35A;RPS25;RPS27;COPS5;RPS29;RPS20;ABCE1;RPS21;RPS24;RPL26L1
peptide biosynthetic process (GO:0043043)	47/162	9.02873694083236e-31	3.48208288018101e-28	47	0.290123456790123	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPS33;RPL12;RPL11;MRPL36;RPL9;MRPL13;RPL6;MRPL32;RPL7;RPS4X;MRPL3;RPS17;RPS15A;RPS18;RPL35;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;MRPS21;RPL35A;RPS3A;MRPS18C;EEF1A1;RPS25;COPS5;RPS27;MRPL51;RPS29;RPL37A;RPL24;RPL27;RPS20;RPL26;RPS21;RPS24
nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	40/113	3.71237284112926e-30	1.22720439348187e-27	40	0.353982300884956	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL9;RPL6;RPL7;RPS4X;RPS17;RPS15A;RPS18;MAGOH;RPL35;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;RPL35A;RPS3A;PNRC2;RPS25;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24
nuclear-transcribed mRNA catabolic process (GO:0000956)	44/171	1.79538275248612e-26	5.19314461156611e-24	44	0.257309941520468	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;RPL12;RPL11;RPL9;RPL6;RPL7;ZFP36L1;RPS4X;RPS17;RPS15A;RPS18;MAGOH;RPL35;RPL15;RPS27A;RPL39;RPS10;RPL17;RPS13;RPL41;RPL21;RPL23;LSM1;RPL35A;RPS3A;PNRC2;RPS25;PAN3;RPS27;RPS29;RPL37A;RPL24;RPL27;RPS20;EIF3E;RPL26;RPS21;RPS24;DCP2
cellular macromolecule biosynthetic process (GO:0034645)	54/314	4.35032308191626e-23	1.1185164012838e-20	54	0.171974522292994	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL9;RPL6;MRPL32;RPL7;EEF1B2;RPS4X;MRPL3;RPS17;RPS18;RPL35;RPL39;RPS10;RPS13;RPL21;RPL23;MRPS21;RPS3A;MRPS18C;EEF1A1;MRPL51;RPL37A;RPL24;RPL27;RPL26;PTMA;SET;MRPS33;RPL12;RPL11;MRPL13;RPS15A;RPL15;RPS27A;RPL17;RPL41;RPA2;RPL35A;NAP1L1;RPS25;GOLPH3;RPS27;COPS5;RPS29;RPA3;RPS20;RPS21;RPS24
gene expression (GO:0010467)	55/356	3.32950725761159e-21	7.70447979411321e-19	55	0.154494382022472	RPL4;RPL5;RPL30;RPL32;RPL31;RPL34;MRPL36;RPL9;RPL6;MRPL32;RPL7;RPS4X;MRPL3;RPS17;RPS18;MAGOH;RPL35;RPL39;RPS10;RPS13;RPL21;RPL23;MRPS21;RPS3A;THOC7;MRPS18C;EEF1A1;MRPL51;RPL37A;RPL24;RPL27;RPL26;PTMA;SLU7;MRPS33;RPL12;RPL11;MRPL13;HSPD1;RPS15A;NUP88;RPL15;RPS27A;RPL17;RPL41;RPL35A;RPS25;GOLPH3;RPS27;COPS5;RPS29;RPS20;RPS21;RPS24;NUP37
